Image_ID,Class
frame0.jpg,0
frame1.jpg,0
frame2.jpg,0
frame3.jpg,0
frame4.jpg,0
frame5.jpg,1
frame6.jpg,1
frame7.jpg,1
frame8.jpg,1
frame9.jpg,1
frame10.jpg,1
frame11.jpg,1
frame12.jpg,1
frame13.jpg,0
frame14.jpg,0
frame15.jpg,0
frame16.jpg,0
frame17.jpg,0
frame18.jpg,0
frame19.jpg,1
frame20.jpg,1
frame21.jpg,1
frame22.jpg,0
frame23.jpg,1
frame24.jpg,1
frame25.jpg,1
frame26.jpg,1
frame27.jpg,1
frame28.jpg,1
frame29.jpg,1
frame30.jpg,1
frame31.jpg,1
frame32.jpg,1
frame33.jpg,1
frame34.jpg,1
frame35.jpg,1
frame36.jpg,1
frame37.jpg,1
frame38.jpg,1
frame39.jpg,1
frame40.jpg,1
frame41.jpg,1
frame42.jpg,1
frame43.jpg,1
frame44.jpg,1
frame45.jpg,1
frame46.jpg,1
frame47.jpg,0
frame48.jpg,0
frame49.jpg,1
frame50.jpg,0
frame51.jpg,1
frame52.jpg,1
frame53.jpg,0
frame54.jpg,1
frame55.jpg,1
frame56.jpg,1
frame57.jpg,1
frame58.jpg,1
frame59.jpg,1
frame60.jpg,1
frame61.jpg,1
frame62.jpg,1
frame63.jpg,1
frame64.jpg,1
frame65.jpg,1
frame66.jpg,1
frame67.jpg,1
frame68.jpg,1
frame69.jpg,1
frame70.jpg,1
frame71.jpg,1
frame72.jpg,1
frame73.jpg,1
frame74.jpg,1
frame75.jpg,1
frame76.jpg,1
frame77.jpg,1
frame78.jpg,1
frame79.jpg,1
frame80.jpg,1
frame81.jpg,1
frame82.jpg,0
frame83.jpg,0
frame84.jpg,0
frame85.jpg,0
frame86.jpg,0
frame87.jpg,0
frame88.jpg,0
frame89.jpg,0
frame90.jpg,0
frame91.jpg,0
frame92.jpg,0
frame93.jpg,0
frame94.jpg,0
frame95.jpg,0
frame96.jpg,1
frame97.jpg,1
frame98.jpg,1
frame99.jpg,1
frame100.jpg,1
frame101.jpg,1
frame102.jpg,1
frame103.jpg,1
frame104.jpg,1
frame105.jpg,1
frame106.jpg,1
frame107.jpg,1
frame108.jpg,0
frame109.jpg,0
frame110.jpg,1
frame111.jpg,1
frame112.jpg,0
frame113.jpg,0
frame114.jpg,0
frame115.jpg,0
frame116.jpg,0
frame117.jpg,0
frame118.jpg,1
frame119.jpg,0
frame120.jpg,0
frame121.jpg,0
frame122.jpg,0
frame123.jpg,0
frame124.jpg,0
frame125.jpg,1
frame126.jpg,1
frame127.jpg,0
frame128.jpg,1
frame129.jpg,0
frame130.jpg,1
frame131.jpg,1
frame132.jpg,1
frame133.jpg,1
frame134.jpg,1
frame135.jpg,0
frame136.jpg,0
frame137.jpg,0
frame138.jpg,0
frame139.jpg,1
frame140.jpg,1
frame141.jpg,1
frame142.jpg,1
frame143.jpg,1
frame144.jpg,1
frame145.jpg,1
frame146.jpg,1
frame147.jpg,1
frame148.jpg,1
frame149.jpg,1
frame150.jpg,1
frame151.jpg,1
frame152.jpg,0
frame153.jpg,0
frame154.jpg,0
frame155.jpg,0
frame156.jpg,0
frame157.jpg,0
frame158.jpg,1
frame159.jpg,1
frame160.jpg,0
frame161.jpg,0
frame162.jpg,0
frame163.jpg,0
frame164.jpg,0
frame165.jpg,0
frame166.jpg,0
frame167.jpg,0
frame168.jpg,0
frame169.jpg,0
frame170.jpg,0
frame171.jpg,0
frame172.jpg,0
frame173.jpg,0
frame174.jpg,0
frame175.jpg,0
frame176.jpg,0
frame177.jpg,0
frame178.jpg,1
frame179.jpg,1
frame180.jpg,1
frame181.jpg,0
frame182.jpg,0
frame183.jpg,0
frame184.jpg,0
frame185.jpg,0
frame186.jpg,0
frame187.jpg,0
frame188.jpg,0
frame189.jpg,0
frame190.jpg,0
frame191.jpg,0
frame192.jpg,0
frame193.jpg,0
frame194.jpg,0
frame195.jpg,0
frame196.jpg,0
frame197.jpg,0
frame198.jpg,0
frame199.jpg,0
frame200.jpg,0
frame201.jpg,0
frame202.jpg,0
frame203.jpg,0
frame204.jpg,0
frame205.jpg,0
frame206.jpg,0
frame206.jpg,0
frame207.jpg,0
frame208.jpg,1
frame209.jpg,1
frame210.jpg,1
frame211.jpg,0
